url,preco com desconto,preco sem desconto
https://www.santoremedio.com.br/sabonte-liquido-granado-erva-doce-250ml,"R$ 27,99","R$ 27,99"
https://www.santoremedio.com.br/gel-fixador-cebolinha-230g,"R$ 16,99","R$ 16,99"
https://www.santoremedio.com.br/leite-nan-comfor-1-f-infantil-800g,"R$ 55,99","R$ 62,49"
https://www.santoremedio.com.br/hastes-flexiveis-cremer-minions-150-undidades,"R$ 9,99","R$ 9,99"
https://www.santoremedio.com.br/colonia-johnson-s-baby-lavanda-400ml,"R$ 57,90","R$ 57,90"
https://www.santoremedio.com.br/formula-infantil-comfor-2-nan-800g,"R$ 60,99","R$ 65,99"
https://www.santoremedio.com.br/formula-infantil-1-soja-aptamil-400g,"R$ 97,99","R$ 97,99"
https://www.santoremedio.com.br/po-p-preparo-de-bebida-baunilha-nutren-kids-350g,"R$ 35,09","R$ 35,09"
https://www.santoremedio.com.br/sabonete-liquido-extra-suave-para-bebe-huggies-200ml,"R$ 21,49","R$ 21,49"
https://www.santoremedio.com.br/aptamil-active-sensitive-800g,"R$ 128,99","R$ 128,99"
https://www.santoremedio.com.br/prendedor-de-chupeta-neopan-azul-embalagem-1-un,"R$ 15,99","R$ 15,99"
https://www.santoremedio.com.br/prendedor-para-chupeta-neopan-rosa-ref-7302-embalagem-1-un,"R$ 15,99","R$ 15,99"
https://www.santoremedio.com.br/milnutri-premium-composto-lac-400g-dan,"R$ 40,99","R$ 40,99"
https://www.santoremedio.com.br/conjunto-para-cabelo-kuka-soft-azul-ref-67257-embalagem-1-un,"R$ 28,99","R$ 28,99"
https://www.santoremedio.com.br/prendedor-de-chupeta-kuka-personagens-sortidos-embalagem-1un,"R$ 24,99","R$ 24,99"
https://www.santoremedio.com.br/kit-pente-e-escova-baby-zoo-coala-marco-boni,"R$ 16,99","R$ 16,99"
https://www.santoremedio.com.br/absorvente-para-seios-johnsons-12-unidades,"R$ 25,99","R$ 25,99"
https://www.santoremedio.com.br/sabonete-liquido-granado-bebe-lavanda-refil-250ml,"R$ 20,99","R$ 20,99"
https://www.santoremedio.com.br/sabonete-liquido-turma-da-xuxinha-tradicional-baruel-210ml,"R$ 17,99","R$ 17,99"
https://www.santoremedio.com.br/sabonete-liquido-xuxinha-sono-tranquilo-embalagem-210ml,"R$ 17,99","R$ 17,99"
https://www.santoremedio.com.br/sabonete-em-barra-baby-dove-hidratacao-enriquecida-75g,"R$ 4,99","R$ 4,99"
https://www.santoremedio.com.br/sab-liq-dove-baby-hid-enr-c-200ml-dov,"R$ 19,99","R$ 19,99"
https://www.santoremedio.com.br/composto-lacteo-neslac-comfor-nestle-800g,"R$ 58,49","R$ 58,49"
https://www.santoremedio.com.br/protetor-de-seios-kuka,"R$ 23,99","R$ 23,99"
https://www.santoremedio.com.br/tesoura-p-unhas-mini-nail-azul-mkd,"R$ 21,99","R$ 21,99"
https://www.santoremedio.com.br/copo-c-bebedor-sil-learn-rosa-mkd,"R$ 35,99","R$ 35,99"
https://www.santoremedio.com.br/prat-fund-c-div-colh-funny-meal-az-mkd,"R$ 29,99","R$ 29,99"
